,x,y,radius
0,0.0,0.0,0.0
1,0.040582125796937873,-0.9989012155644025,12.3139255
2,0.16206101595401634,-1.9912184161794295,12.3139255
3,0.3636359718472253,-2.9704109838324375,12.3139255
4,0.6439783610729357,-3.930024808343871,12.3139255
5,1.0012403748059668,-4.863734828068228,12.3139255
6,1.4330672071830222,-5.765386720002937,12.3139255
7,1.9366125764340811,-6.62903746451489,12.3139255
8,2.5085574854579527,-7.448994517312118,12.3139255
9,3.145132098186208,-8.219853330468013,12.3139255
10,3.8421405875427617,-8.93653297518742,12.3139255
11,4.594988791219814,-9.594309631515753,12.3139255
12,5.398714492983778,-10.18884772425184,12.3139255
13,5.547949200282093,-10.288553150526356,12.3139255
14,6.387432558503811,-10.831922366552988,68.83670521
15,7.234720656458002,-11.36303939011917,68.83670521
16,8.08963468763826,-11.88179213753142,68.83670521
17,8.951994236207817,-12.388071134377562,68.83670521
18,9.821617315073368,-12.88176953862962,68.83670521
19,10.698320404290534,-13.362783163191018,68.83670521
20,11.581918489792795,-13.831010497883653,68.83670521
21,12.472225102435694,-14.286352730869957,68.83670521
22,13.369052357348192,-14.728713769505525,68.83670521
23,14.272210993582704,-15.158000260617968,68.83670521
24,15.10341675601656,-15.539009124117875,68.83670521
25,16.026668021329492,-15.922836736294906,17.14489604
26,16.970723886031184,-16.25219225711365,17.14489604
27,17.932373612199374,-16.52595554707798,17.14489604
28,18.90834662511577,-16.74319553610012,17.14489604
29,19.895323636504276,-16.903173390073892,17.14489604
30,20.889947933444237,-17.005345023652556,17.14489604
31,21.888836794565023,-17.04936295068538,17.14489604
32,22.888592994695486,-17.035077466019448,17.14489604
33,23.88581635884091,-16.962537154647524,17.14489604
34,24.877115326192282,-16.831988726470282,17.14489604
35,25.85911848483874,-16.64387617723492,17.14489604
36,26.828486037953482,-16.39883927850376,17.14489604
37,27.781921162456676,-16.097711401788526,17.14489604
38,28.716181221524458,-15.741516684250339,17.14489604
39,29.628088792810264,-15.331466545604995,17.14489604
40,30.514542474871448,-14.868955568079468,17.14489604
41,31.372527435048468,-14.355556753431943,17.14489604
42,32.02592135020353,-13.916800792641643,17.14489604
43,32.84583742676836,-13.344323685256086,-104.7898011
44,33.67117918644449,-12.779696913995025,-104.7898011
45,34.50187146824196,-12.222971897445461,-104.7898011
46,35.337838623917435,-11.674199334609241,-104.7898011
47,36.17900452486327,-11.133429200286017,-104.7898011
48,37.025292569040246,-10.600710740522246,-104.7898011
49,37.87662568795347,-10.076092468126532,-104.7898011
50,38.73292635367069,-9.559622158251685,-104.7898011
51,39.29125441109132,-9.228834211202013,-104.7898011
52,40.16683449609508,-8.746028574033454,-17.96314465
53,41.06792186453821,-8.31268884244961,-17.96314465
54,41.9917246797684,-7.930157631814875,-17.96314465
55,42.935380725923615,-7.599620137585209,-17.96314465
56,43.895966275928,-7.322100463220131,-17.96314465
57,44.870505150067906,-7.098458447205626,-17.96314465
58,45.855977937081796,-6.92938699901881,-17.96314465
59,46.84933134919428,-6.815409952288299,-17.96314465
60,47.84748768210969,-6.756880441801819,-17.96314465
61,48.84735435065531,-6.75397980938963,-17.96314465
62,49.84583347053,-6.8067170420736005,-17.96314465
63,50.839831456471074,-6.914928744222735,-17.96314465
64,51.82626860710144,-7.078279643801437,-17.96314465
65,52.8020886467604,-7.29626363114199,-17.96314465
66,53.764268194754635,-7.56820532702281,-17.96314465
67,54.70982613269066,-7.8932621751941525,-17.96314465
68,55.63583284086627,-8.27042705286794,-17.96314465
69,55.705050607639535,-8.301066515981795,-17.96314465
70,56.61839278850158,-8.708259298392932,-919.2797583
71,57.53129148143847,-9.116445380742107,-919.2797583
72,58.44374560619315,-9.525624280011925,-919.2797583
73,59.355754083034526,-9.935795512010259,-919.2797583
74,60.26731583275887,-10.34695859137048,-919.2797583
75,61.178429776691075,-10.759113031552602,-919.2797583
76,62.08909483668589,-11.172258344843272,-919.2797583
77,62.99930993512936,-11.586394042356915,-919.2797583
78,63.909073994939945,-12.001519634035617,-919.2797583
