length,radius
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
1.0,12.3139255
0.17947908000000012,12.3139255
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
1.0,68.83670521
0.9143757800000003,68.83670521
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
1.0,17.14489604
0.78710813,17.14489604
1.0,-104.7898011
1.0,-104.7898011
1.0,-104.7898011
1.0,-104.7898011
1.0,-104.7898011
1.0,-104.7898011
1.0,-104.7898011
1.0,-104.7898011
0.6489624270000007,-104.7898011
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
1.0,-17.96314465
0.07569600000000065,-17.96314465
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
1.0,-919.2797583
0.009550329999999718,-919.2797583
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
1.0,15.19696754
0.7286194800000008,15.19696754
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
1.0,-175.8591901
0.6067749800000009,-175.8591901
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
1.0,-50.43874677
0.7713252299999986,-50.43874677
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
1.0,-1680.442409
0.6221350200000018,-1680.442409
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
1.0,-74.59326303
0.3906120700000031,-74.59326303
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
1.0,14.07510762
0.9724466399999994,14.07510762
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
1.0,-788.5830965
