length,radius
39.95892215,40.40001933
35.80832063,225.8422159
58.35665584,56.24966072
28.37586189,-343.798571
56.02262648,-58.93420348
39.40141309,-3016.009802
41.76056393,49.858819
34.79913164,-576.9658652
55.02403467,-165.481458
205.4532055,-5513.262674
85.98900279,-245.0091732
38.39263817,-526.7283207
50.65772867,46.11840618
108.4802093,-2587.214966
60.87695805,-56.64070589
106.6486971,8350.890435
46.75305867,59.96273962
57.52559361,-88.12714123
36.97522172,54.0203927
50.26318369,-70.71615324
100.9689542,73.58407547
43.9777849,-40.42061172
30.0403249,76.9746568
31.2571317,-114.3156083
228.6371982,-3486.097221
39.25453388,-27.88402673
18.59195451,33.76183191
36.32181284,55.0599587
80.09513741,608.4362477
38.23917356,18.47178867
38.1637711,123.0684473
29.52560433,-26.39474718
12.98191599,45.25030203
26.94222799,20.06428151
93.49908737,-484.3411354
94.72851673,155.126736
61.13524726,484.2595206
44.97697947,-43.54678999
33.8675256,164.8958789
41.41261981,74.27745249
41.66767838,-474.2471038
338.6235668,-3535.070746
20.74870867,-35.87253753
15.47049305,29.71428053
19.38598937,34.88238758
33.27564946,-30.92272948
35.90688166,38.54666365
36.05196846,-71.22497419
103.4728565,669.6019131
33.82649357,32.12468354
5.23671951,18.36911266
23.84784482,-33.48880801
36.93331985,-60.98960973
44.03311209,-52.17665243
11.12488689,1127.589093
48.03318604,53.60856894
117.8023665,642.2430957
11.55729477,35.44011403
36.61811565,-40.33263203
43.03192767,46.01653742
22.24090874,-21.91951615
25.40256029,-121.3330659
29.9952142,24.95100575
50.36926905,-671.276259
27.27526642,-26.84605894
38.29468487,-412.4360465
38.69342459,21.99563798
26.13197296,-355.9686101
26.0036106,-21.38504151
29.86467409,2509.145743
14.86161062,23.03974888
29.74808266,21.00150897
62.72355394,2045.485502
