x,y
0.0,0.0
0.040582125796937873,-0.9989012155644025
0.16206101595401634,-1.9912184161794295
0.3636359718472253,-2.9704109838324375
0.6439783610729357,-3.930024808343871
1.0012403748059668,-4.863734828068228
1.4330672071830222,-5.765386720002937
1.9366125764340811,-6.62903746451489
2.5085574854579527,-7.448994517312118
3.145132098186208,-8.219853330468013
3.8421405875427617,-8.93653297518742
4.594988791219814,-9.594309631515753
5.398714492983778,-10.18884772425184
5.547949200282093,-10.288553150526356
6.387432558504379,-10.831922366552092
7.234720656460247,-11.363039390115595
8.08963468764324,-11.88179213752332
8.951994236216521,-12.388071134363102
9.821617315086762,-12.88176953860689
10.698320404309506,-13.36278316315812
11.581918489818182,-13.831010497838626
12.472225102468286,-14.28635273081084
13.369052357388714,-14.728713769430321
14.272210993631834,-15.158000260524652
15.103416756074093,-15.53900912400622
16.026668021395864,-15.922836736161985
16.970723886105144,-16.252192256958985
17.93237361227964,-16.525955546901162
18.908346625201037,-16.743195535900828
19.895323636593233,-16.90317338985186
20.889947933535545,-17.00534502340762
21.888836794657344,-17.049362950417436
22.88859299478748,-17.035077465728477
23.88581635893123,-16.96253715433358
24.877115326279597,-16.831988726133506
25.85911848492172,-16.643876176875526
26.828486038030817,-16.39883927812204
27.781921162527077,-16.097711401384846
28.716181221586655,-15.74151668382514
29.628088792863018,-15.331466545158792
30.514542474913547,-14.868955567612845
31.37252743507874,-14.35555675294556
32.0259213502237,-13.91680079214021
32.84583742677534,-13.34432368473577
33.671179186438465,-12.779696913455695
34.5018714682231,-12.222971896887003
35.33783862388594,-11.674199334031528
36.17900452481931,-11.133429199688933
37.02529256898403,-10.60071073990568
37.876625687885166,-10.07609246749034
38.732926353590486,-9.559622157595768
39.29125441100351,-9.228834210533236
40.16683449599614,-8.746028573344509
41.06792186442929,-8.31268884173991
41.99172467965067,-7.930157631083901
42.935380725798275,-7.599620136832499
43.89596627579626,-7.322100462445292
44.87050514993102,-7.0984584464083404
45.85597793694102,-6.929386998198829
46.84933134905087,-6.815409951445435
47.84748768196493,-6.756880440935966
48.847354350510486,-6.753979808500748
49.8458334703864,-6.806717041161718
50.83983145632996,-6.914928743287959
51.826268606964085,-7.078279642843942
52.80208864662808,-7.2962636301620165
53.76426819462857,-7.568205326020671
54.70982613257208,-7.893262174170239
55.63583284075638,-8.2704270518227
55.70505060753035,-8.301066514934956
56.61839278840165,-8.708259297325185
57.531291481347864,-9.116445379653442
58.443745606111804,-9.52562427890257
59.35575408296245,-9.935795510880098
