length,radius
12.17947908,12.3139255
10.91437578,68.8367052
17.78710813,17.14489604
8.648962427,-104.7898011
17.075696,-17.96314465
12.00955033,-919.2797582
12.72861948,15.19696754
10.60677498,-175.8591901
16.77132523,-50.43874678
56.52613523,-1680.442409
26.20944721,-74.6787936
11.70207574,-160.546787
15.4404752,14.05688975
33.06476674,-788.5830964
18.55529622,-17.2640866
32.50652184,2545.351323
14.25033183,18.27664245
17.53380037,-26.86115179
11.27004722,16.46541517
15.3202179,-21.55428282
30.77533626,22.42842549
13.40442841,-12.32020206
9.156290737,23.46187464
9.527173437,-34.84339629
69.68861578,-1062.562399
11.96478154,-8.499051075
5.666827553,10.29060604
11.0708882,16.78227487
24.4129971,185.4513624
11.65529973,5.630201006
11.63231706,37.51126154
8.999403912,-8.045118683
3.956887867,13.79229162
9.126390799,6.115592809
28.49852092,-147.6271733
28.87325098,47.28262762
18.63402277,147.6022972
13.7089829,-13.27306116
10.32282147,50.26026228
12.62256611,22.63976679
12.70030796,-144.5505126
103.2124599,-1077.489529
6.3242062,-10.93394909
4.715406131,9.056912416
5.908849371,10.63215139
10.14241763,-9.425247644
10.94441718,11.7490227
10.98863963,-21.70937144
31.53852565,204.0946566
10.31031491,9.79160323
1.596152056,5.59890536
7.268822869,-10.20738835
11.25727553,-18.58963245
13.42129214,-15.90344315
3.390865416,343.6891445
15.8597146,16.33989129
45.35495986,195.7556893
3.522663333,10.80214641
11.16120129,-12.29338585
13.11613113,14.02584016
6.779028767,-6.681068309
7.742700129,-36.9823173
9.142540996,7.605066309
15.35255272,-204.6049972
8.313500939,-8.182678503
11.67221957,-125.710503
11.79375544,6.704270242
7.965025103,-108.4992289
7.925900257,-6.518160444
9.102752371,764.787598
4.529818772,7.022515234
7.817535345,6.401259729
18.50853865,623.4639611
